"Dt Ultima  Totalização";"UF";"Município";"Cargo";"Nr";"Candidato";"Partido";"Situação";"Qt Votos  Válidos";"% Válidos";
"";"AC";"ACRELÂNDIA";"Vereador";"20.111";"JOSE MOREIRA DA SILVA";"PSC";"Não eleito";"14";"0,189"
"";"AC";"ACRELÂNDIA";"Vereador";"20.123";"ELAINE LOPES SARMENTO";"PSC";"Não eleito";"0";"0,000"
"";"AC";"ACRELÂNDIA";"Vereador";"45.338";"IOLANDA DE SOUZA NOBRE";"PSDB";"Não eleito";"0";"0,000"
"";"AC";"ACRELÂNDIA";"Vereador";"11.234";"DJALMA PESSOA DE OLIVEIRA";"PP";"Eleito por QP";"402";"5,432"
"";"AC";"ACRELÂNDIA";"Vereador";"11.222";"SIONAYTON RODRIGUES STAUT";"PP";"Eleito por QP";"390";"5,270"
"";"AC";"ACRELÂNDIA";"Vereador";"11.125";"JOSUÉ SILVA DOS SANTOS";"PP";"Eleito por média";"278";"3,756"
"";"AC";"ACRELÂNDIA";"Vereador";"11.789";"JOSE NETO DA SILVA";"PP";"Suplente";"224";"3,027"
"";"AC";"ACRELÂNDIA";"Vereador";"11.601";"FRANCISCO FERNANDES LIMA";"PP";"Suplente";"193";"2,608"
"";"AC";"ACRELÂNDIA";"Vereador";"11.456";"CLEUSON DE OLIVEIRA";"PP";"Suplente";"192";"2,594"
"";"AC";"ACRELÂNDIA";"Vereador";"11.111";"ALCIDES RODRIGUES";"PP";"Suplente";"86";"1,162"
"";"AC";"ACRELÂNDIA";"Vereador";"11.444";"GILDO ALVES PEREIRA";"PP";"Suplente";"84";"1,135"
"";"AC";"ACRELÂNDIA";"Vereador";"11.200";"JOAQUIM JOSE RODRIGUES";"PP";"Suplente";"77";"1,040"
"";"AC";"ACRELÂNDIA";"Vereador";"11.121";"SEBASTIAO BENTO DOS REIS";"PP";"Suplente";"77";"1,040"
"";"AC";"ACRELÂNDIA";"Vereador";"11.555";"CARLOS FERNANDO DE ARAUJO";"PP";"Suplente";"62";"0,838"
"";"AC";"ACRELÂNDIA";"Vereador";"11.000";"DIVINA BATISTA";"PP";"Suplente";"35";"0,473"
"";"AC";"ACRELÂNDIA";"Vereador";"11.567";"JOSE MENDES DE OLIVEIRA";"PP";"Suplente";"22";"0,297"
"";"AC";"ACRELÂNDIA";"Vereador";"11.333";"DALSILENE NOGUEIRA DOS SANTOS MARCOLINO";"PP";"Suplente";"9";"0,122"
"";"AC";"ACRELÂNDIA";"Vereador";"11.600";"JOSENILDA MOURA DE SOUZA";"PP";"Suplente";"1";"0,014"
"";"AC";"ACRELÂNDIA";"Vereador";"28.111";"VILENIR MACIEL DO NASCIMENTO";"PRTB";"Suplente";"0";"0,000"
