"Dt Ultima  Totalização";"UF";"Município";"Cargo";"Nr";"Candidato";"Partido";"Situação";"Qt Votos  Válidos";"% Válidos";
"Última totalização: 31/08/2014 - 18:20:16";"AL";"MAJOR ISIDORO";"Prefeito";"33";"ITALO TAVARES SURUAGY DO AMARAL";"PMN";"Não eleito";"4.955";"46,820"
"";"AL";"MAJOR ISIDORO";"Prefeito";"13";"IB HEBER PITA DE ARAUJO";"PT";"Não eleito";"264";"2,495"
"";"AL";"MAJOR ISIDORO";"Prefeito";"14";"MARIA SANTANA MARIANO SILVA CAMPOS";"PTB";"Eleito";"5.364";"50,685"
